date,year,month,state,sector,index,division,group,class,sub_class,item,code,mom_change,yoy_change
2025-01-01,2025,January,All India,Combined,101.47936056892506,CPI (Excluding Food and Beverages),*,*,*,*,*,,
2025-02-01,2025,February,All India,Combined,101.58782065855092,CPI (Excluding Food and Beverages),*,*,*,*,*,0.10687896437049371,
2025-03-01,2025,March,All India,Combined,101.89804999469492,CPI (Excluding Food and Beverages),*,*,*,*,*,0.30538044239249995,
2025-04-01,2025,April,All India,Combined,102.24302957278395,CPI (Excluding Food and Beverages),*,*,*,*,*,0.33855366035659973,
2025-05-01,2025,May,All India,Combined,102.53520832007322,CPI (Excluding Food and Beverages),*,*,*,*,*,0.2857688670906189,
2025-06-01,2025,June,All India,Combined,102.82701162575117,CPI (Excluding Food and Beverages),*,*,*,*,*,0.2845883969602392,
2025-07-01,2025,July,All India,Combined,103.07830564415609,CPI (Excluding Food and Beverages),*,*,*,*,*,0.2443852198287466,
2025-08-01,2025,August,All India,Combined,103.1859407718504,CPI (Excluding Food and Beverages),*,*,*,*,*,0.10442073821612663,
2025-09-01,2025,September,All India,Combined,103.44340099291061,CPI (Excluding Food and Beverages),*,*,*,*,*,0.24951094997474055,
2025-10-01,2025,October,All India,Combined,103.5423705602952,CPI (Excluding Food and Beverages),*,*,*,*,*,0.09567509037271549,
2025-11-01,2025,November,All India,Combined,103.69338562031358,CPI (Excluding Food and Beverages),*,*,*,*,*,0.1458485634443063,
2025-12-01,2025,December,All India,Combined,104.03138873377604,CPI (Excluding Food and Beverages),*,*,*,*,*,0.32596400574680384,
2026-01-01,2026,January,All India,Combined,104.66182363277878,CPI (Excluding Food and Beverages),*,*,*,*,*,0.6060045017913351,3.136069291343424
2025-01-01,2025,January,All India,Combined,101.59247736168251,Core CPI,*,*,*,*,*,,
2025-02-01,2025,February,All India,Combined,101.73849734789538,Core CPI,*,*,*,*,*,0.14373110096823627,
2025-03-01,2025,March,All India,Combined,102.05470796025088,Core CPI,*,*,*,*,*,0.3108072367868919,
2025-04-01,2025,April,All India,Combined,102.34641743339856,Core CPI,*,*,*,*,*,0.2858363704899336,
2025-05-01,2025,May,All India,Combined,102.64053345310279,Core CPI,*,*,*,*,*,0.28737304839774325,
2025-06-01,2025,June,All India,Combined,102.95209361025665,Core CPI,*,*,*,*,*,0.30354495117292934,
2025-07-01,2025,July,All India,Combined,103.2279276698035,Core CPI,*,*,*,*,*,0.2679246724122786,
2025-08-01,2025,August,All India,Combined,103.4601895411878,Core CPI,*,*,*,*,*,0.22499906432997818,
2025-09-01,2025,September,All India,Combined,103.70002577069916,Core CPI,*,*,*,*,*,0.23181499142321815,
2025-10-01,2025,October,All India,Combined,103.82259299777402,Core CPI,*,*,*,*,*,0.11819401795125639,
2025-11-01,2025,November,All India,Combined,103.99333434683643,Core CPI,*,*,*,*,*,0.1644549072917778,
2025-12-01,2025,December,All India,Combined,104.35458654838962,Core CPI,*,*,*,*,*,0.34738015068191963,
2026-01-01,2026,January,All India,Combined,105.05297375189451,Core CPI,*,*,*,*,*,0.6692443778511414,3.4062525888527873
2025-01-01,2025,January,All India,Combined,101.46564019877604,Core CPI (Excluding Gold and Silver),*,*,*,*,*,,
2025-02-01,2025,February,All India,Combined,101.49747687818544,Core CPI (Excluding Gold and Silver),*,*,*,*,*,0.031376808293948066,
2025-03-01,2025,March,All India,Combined,101.82572991110919,Core CPI (Excluding Gold and Silver),*,*,*,*,*,0.32341004231830617,
2025-04-01,2025,April,All India,Combined,102.06997387052746,Core CPI (Excluding Gold and Silver),*,*,*,*,*,0.23986467824144153,
2025-05-01,2025,May,All India,Combined,102.34108630516148,Core CPI (Excluding Gold and Silver),*,*,*,*,*,0.26561428827043265,
2025-06-01,2025,June,All India,Combined,102.60079342637079,Core CPI (Excluding Gold and Silver),*,*,*,*,*,0.25376623464294923,
2025-07-01,2025,July,All India,Combined,102.83540041085945,Core CPI (Excluding Gold and Silver),*,*,*,*,*,0.22866000998036373,
2025-08-01,2025,August,All India,Combined,102.94739362927635,Core CPI (Excluding Gold and Silver),*,*,*,*,*,0.10890531662195446,
2025-09-01,2025,September,All India,Combined,103.11608918187379,Core CPI (Excluding Gold and Silver),*,*,*,*,*,0.16386578295020104,
2025-10-01,2025,October,All India,Combined,102.97568462762828,Core CPI (Excluding Gold and Silver),*,*,*,*,*,-0.13616163622910404,
2025-11-01,2025,November,All India,Combined,103.10026746618529,Core CPI (Excluding Gold and Silver),*,*,*,*,*,0.1209827727851609,
2025-12-01,2025,December,All India,Combined,103.21577392352864,Core CPI (Excluding Gold and Silver),*,*,*,*,*,0.11203313064269693,
2026-01-01,2026,January,All India,Combined,103.36411379972749,Core CPI (Excluding Gold and Silver),*,*,*,*,*,0.14371822305838666,1.8710507293229872
2025-01-01,2025,January,All India,Combined,101.7348594985302,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,,
