date,year,month,state,sector,index,division,group,class,sub_class,item,code,mom_change,yoy_change
2025-01-01,2025,January,All India,Combined,101.55896760425084,CPI Excluding Vegetables,*,*,*,*,*,,
2025-02-01,2025,February,All India,Combined,102.26541114310535,CPI Excluding Vegetables,*,*,*,*,*,0.6955993700205276,
2025-03-01,2025,March,All India,Combined,102.64448188947185,CPI Excluding Vegetables,*,*,*,*,*,0.3706734683108559,
2025-04-01,2025,April,All India,Combined,102.94866179336374,CPI Excluding Vegetables,*,*,*,*,*,0.2963431626255675,
2025-05-01,2025,May,All India,Combined,103.25412922481647,CPI Excluding Vegetables,*,*,*,*,*,0.29671821481842553,
2025-06-01,2025,June,All India,Combined,103.56768729169806,CPI Excluding Vegetables,*,*,*,*,*,0.3036760556073048,
2025-07-01,2025,July,All India,Combined,103.8734230494757,CPI Excluding Vegetables,*,*,*,*,*,0.29520380899936693,
2025-08-01,2025,August,All India,Combined,104.09363072135552,CPI Excluding Vegetables,*,*,*,*,*,0.21199616361438078,
2025-09-01,2025,September,All India,Combined,104.27333444449125,CPI Excluding Vegetables,*,*,*,*,*,0.17263661752444648,
2025-10-01,2025,October,All India,Combined,104.26810454952671,CPI Excluding Vegetables,*,*,*,*,*,-0.005015563175769788,
2025-11-01,2025,November,All India,Combined,104.4322177431065,CPI Excluding Vegetables,*,*,*,*,*,0.15739539362378263,
2025-12-01,2025,December,All India,Combined,104.75787480220947,CPI Excluding Vegetables,*,*,*,*,*,0.3118358167055746,
2026-01-01,2026,January,All India,Combined,105.42156631089276,CPI Excluding Vegetables,*,*,*,*,*,0.6335480840331975,3.803306392098693
2025-01-01,2025,January,All India,Combined,101.4834815248736,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,,
2025-02-01,2025,February,All India,Combined,101.59404710344137,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.10894933530702922,
2025-03-01,2025,March,All India,Combined,101.90342451863467,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.30452317238458537,
2025-04-01,2025,April,All India,Combined,102.24804967902607,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.3381880069480703,
2025-05-01,2025,May,All India,Combined,102.540626198319,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.28614386309702144,
2025-06-01,2025,June,All India,Combined,102.83272726161712,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.2848637404780252,
2025-07-01,2025,July,All India,Combined,103.08428699639559,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.2446300331396145,
2025-08-01,2025,August,All India,Combined,103.19397787148463,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.10640891864817092,
2025-09-01,2025,September,All India,Combined,103.45000659495153,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.24810432619017941,
2025-10-01,2025,October,All India,Combined,103.54935100810145,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.09603132606736953,
2025-11-01,2025,November,All India,Combined,103.70046392311107,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.14593323235583266,
2025-12-01,2025,December,All India,Combined,104.03823745375995,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.32572036601428156,
2026-01-01,2026,January,All India,Combined,104.66705037414681,"CPI Excluding Food and Beverages, Food and Beverages Services",*,*,*,*,*,0.6044055875767285,3.137031565568549
