base_year,series,year,month,state,sector,division,group,class,sub_class,item,code,index,inflation,imputation,date,mom_change,yoy_change
2024,Current,2025,January,All India,Combined,CPI (General),*,*,*,*,*,101.67,*,*,01/01/25,,
2024,Current,2025,February,All India,Combined,CPI (General),*,*,*,*,*,101.32,*,*,01/02/25,-0.344251008,
2024,Current,2025,March,All India,Combined,CPI (General),*,*,*,*,*,101.39,*,*,01/03/25,0.069088038,
2024,Current,2025,April,All India,Combined,CPI (General),*,*,*,*,*,101.58,*,*,01/04/25,0.187395207,
2024,Current,2025,May,All India,Combined,CPI (General),*,*,*,*,*,101.9,*,*,01/05/25,0.315022642,
2024,Current,2025,June,All India,Combined,CPI (General),*,*,*,*,*,102.51,*,*,01/06/25,0.598626104,
2024,Current,2025,July,All India,Combined,CPI (General),*,*,*,*,*,103.35,*,*,01/07/25,0.819432251,
2024,Current,2025,August,All India,Combined,CPI (General),*,*,*,*,*,103.74,*,*,01/08/25,0.377358491,
2024,Current,2025,September,All India,Combined,CPI (General),*,*,*,*,*,103.74,*,*,01/09/25,0,
2024,Current,2025,October,All India,Combined,CPI (General),*,*,*,*,*,103.74,*,*,01/10/25,0,
2024,Current,2025,November,All India,Combined,CPI (General),*,*,*,*,*,104.01,*,*,01/11/25,0.26026605,
2024,Current,2025,December,All India,Combined,CPI (General),*,*,*,*,*,104.1,*,*,01/12/25,0.086530141,
2024,Current,2026,January,All India,Combined,CPI (General),*,*,*,*,*,104.46,2.75,*,01/01/26,0.345821326,2.744172322
2024,Current,2025,January,All India,Combined,Clothing and footwear,*,*,*,*,3,102.86,*,*,01/01/25,,
2024,Current,2025,February,All India,Combined,Clothing and footwear,*,*,*,*,3,103.21,*,*,01/02/25,0.340268326,
2024,Current,2025,March,All India,Combined,Clothing and footwear,*,*,*,*,3,103.54,*,*,01/03/25,0.31973646,
2024,Current,2025,April,All India,Combined,Clothing and footwear,*,*,*,*,3,103.92,*,*,01/04/25,0.36700792,
2024,Current,2025,May,All India,Combined,Clothing and footwear,*,*,*,*,3,104.3,*,*,01/05/25,0.365665897,
2024,Current,2025,June,All India,Combined,Clothing and footwear,*,*,*,*,3,104.6,*,*,01/06/25,0.287631831,
2024,Current,2025,July,All India,Combined,Clothing and footwear,*,*,*,*,3,104.91,*,*,01/07/25,0.296367113,
2024,Current,2025,August,All India,Combined,Clothing and footwear,*,*,*,*,3,105.2,*,*,01/08/25,0.276427414,
2024,Current,2025,September,All India,Combined,Clothing and footwear,*,*,*,*,3,105.49,*,*,01/09/25,0.275665399,
2024,Current,2025,October,All India,Combined,Clothing and footwear,*,*,*,*,3,105.3,*,*,01/10/25,-0.180111859,
2024,Current,2025,November,All India,Combined,Clothing and footwear,*,*,*,*,3,105.55,*,*,01/11/25,0.237416904,
2024,Current,2025,December,All India,Combined,Clothing and footwear,*,*,*,*,3,105.76,*,*,01/12/25,0.19895784,
2024,Current,2026,January,All India,Combined,Clothing and footwear,*,*,*,*,3,105.92,2.98,*,01/01/26,0.15128593,2.974917363
2024,Current,2025,January,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,102.93,*,*,01/01/25,,
2024,Current,2025,February,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,103.28,*,*,01/02/25,0.340036918,
2024,Current,2025,March,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,103.61,*,*,01/03/25,0.319519752,
2024,Current,2025,April,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,104.02,*,*,01/04/25,0.395714699,
2024,Current,2025,May,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,104.41,*,*,01/05/25,0.374927898,
2024,Current,2025,June,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,104.72,*,*,01/06/25,0.296906427,
2024,Current,2025,July,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,105.04,*,*,01/07/25,0.305576776,
2024,Current,2025,August,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,105.34,*,*,01/08/25,0.285605484,
2024,Current,2025,September,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,105.68,*,*,01/09/25,0.322764382,
2024,Current,2025,October,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,105.63,*,*,01/10/25,-0.047312642,
2024,Current,2025,November,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,105.96,*,*,01/11/25,0.312411247,
2024,Current,2025,December,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,106.22,*,*,01/12/25,0.245375613,
2024,Current,2026,January,All India,Combined,Clothing and footwear,Clothing,*,*,*,3.1,106.42,3.4,*,01/01/26,0.188288458,3.390653842
2024,Current,2025,January,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,102.41,*,*,01/01/25,,
2024,Current,2025,February,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,102.78,*,*,01/02/25,0.361292842,
2024,Current,2025,March,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,103.14,*,*,01/03/25,0.350262697,
2024,Current,2025,April,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,103.55,*,*,01/04/25,0.397517937,
2024,Current,2025,May,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,103.99,*,*,01/05/25,0.4249155,
2024,Current,2025,June,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,104.33,*,*,01/06/25,0.326954515,
2024,Current,2025,July,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,104.65,*,*,01/07/25,0.306719065,
2024,Current,2025,August,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,105.01,*,*,01/08/25,0.344003822,
2024,Current,2025,September,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,105.28,*,*,01/09/25,0.25711837,
2024,Current,2025,October,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,105.54,*,*,01/10/25,0.246960486,
2024,Current,2025,November,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,105.88,*,*,01/11/25,0.322152738,
2024,Current,2025,December,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,106.23,*,*,01/12/25,0.330562901,
2024,Current,2026,January,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",*,*,03.1.4,106.54,4.03,*,01/01/26,0.291819637,4.032809296
2024,Current,2025,January,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing","Cleaning, ironing, dry cleaning and dyeing of clothing",*,03.1.4.1,102.12,*,*,01/01/25,,
2024,Current,2025,February,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing","Cleaning, ironing, dry cleaning and dyeing of clothing",*,03.1.4.1,102.43,*,*,01/02/25,0.303564434,
2024,Current,2025,March,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing","Cleaning, ironing, dry cleaning and dyeing of clothing",*,03.1.4.1,102.76,*,*,01/03/25,0.322171239,
2024,Current,2025,April,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing","Cleaning, ironing, dry cleaning and dyeing of clothing",*,03.1.4.1,103,*,*,01/04/25,0.233553912,
2024,Current,2025,May,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing","Cleaning, ironing, dry cleaning and dyeing of clothing",*,03.1.4.1,103.36,*,*,01/05/25,0.349514563,
2024,Current,2025,June,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing","Cleaning, ironing, dry cleaning and dyeing of clothing",*,03.1.4.1,103.6,*,*,01/06/25,0.232198142,
2024,Current,2025,July,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing","Cleaning, ironing, dry cleaning and dyeing of clothing",*,03.1.4.1,103.82,*,*,01/07/25,0.212355212,
2024,Current,2025,August,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing","Cleaning, ironing, dry cleaning and dyeing of clothing",*,03.1.4.1,104.02,*,*,01/08/25,0.19264111,
2024,Current,2025,September,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing","Cleaning, ironing, dry cleaning and dyeing of clothing",*,03.1.4.1,104.2,*,*,01/09/25,0.173043645,
2024,Current,2025,October,All India,Combined,Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing","Cleaning, ironing, dry cleaning and dyeing of clothing",*,03.1.4.1,104.43,*,*,01/10/25,0.220729367,
