base_year,series,year,month,state,sector,division,group,class,sub_class,item,code,index,inflation,imputation,date,mom_change
2024,Current,2025,January,All India,Combined,CPI (General),*,*,*,*,*,101.67,*,*,2025-01-01,
2024,Current,2025,February,All India,Combined,CPI (General),*,*,*,*,*,101.32,*,*,2025-02-01,-0.34425100816367626
2024,Current,2025,March,All India,Combined,CPI (General),*,*,*,*,*,101.39,*,*,2025-03-01,0.06908803789973383
2024,Current,2025,April,All India,Combined,CPI (General),*,*,*,*,*,101.58,*,*,2025-04-01,0.18739520662787168
2024,Current,2025,May,All India,Combined,CPI (General),*,*,*,*,*,101.9,*,*,2025-05-01,0.31502264225242715
2024,Current,2025,June,All India,Combined,CPI (General),*,*,*,*,*,102.51,*,*,2025-06-01,0.5986261040235474
2024,Current,2025,July,All India,Combined,CPI (General),*,*,*,*,*,103.35,*,*,2025-07-01,0.819432250512131
2024,Current,2025,July,All India,Combined,CPI (General),*,*,*,*,*,103.35,*,*,2025-07-01,0.0
2024,Current,2025,July,All India,Combined,CPI (General),*,*,*,*,*,103.35,*,*,2025-07-01,0.0
2024,Current,2025,August,All India,Combined,CPI (General),*,*,*,*,*,103.74,*,*,2025-08-01,0.37735849056603765
2024,Current,2025,September,All India,Combined,CPI (General),*,*,*,*,*,103.74,*,*,2025-09-01,0.0
2024,Current,2025,October,All India,Combined,CPI (General),*,*,*,*,*,103.74,*,*,2025-10-01,0.0
2024,Current,2025,November,All India,Combined,CPI (General),*,*,*,*,*,104.01,*,*,2025-11-01,0.26026604973974354
2024,Current,2025,December,All India,Combined,CPI (General),*,*,*,*,*,104.1,*,*,2025-12-01,0.08653014133255255
2024,Current,2026,January,All India,Combined,CPI (General),*,*,*,*,*,104.46,2.75,*,2026-01-01,0.34582132564842105
2024,Current,2025,January,All India,Combined,Clothing and footwear,*,*,*,*,03,102.86,*,*,2025-01-01,
2024,Current,2025,February,All India,Combined,Clothing and footwear,*,*,*,*,03,103.21,*,*,2025-02-01,0.34026832587983336
2024,Current,2025,March,All India,Combined,Clothing and footwear,*,*,*,*,03,103.54,*,*,2025-03-01,0.3197364596454033
