division,group,class,item,yoy_change,mom_change,weight,contribution_score
"Personal care, social protection and miscellaneous goods and services",Other personal effects,Jewellery and watches,Silver jewellery,159.67565597667635,35.11258592083433,0.3126529484061393,49.923064629792236
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Tomato,64.7909967845659,-10.834321866350338,0.4960606349435679,32.140263003578426
"Personal care, social protection and miscellaneous goods and services",Other personal effects,Jewellery and watches,Gold /diamond /platinum jewellery,46.769259293594125,7.481330617786819,0.6229745483415509,29.13605818469568
"Housing, water, electricity, gas and other fuels",Actual rental payments made for housing,Actual rental payments made by tenants for main residence,House Rent,1.9318860784704128,0.1957713390759563,10.884970343842962,21.02852267183352
Food and beverages,Food,"Meat, fresh, chilled or frozen",Chicken,10.423779875477004,6.0980316480123475,1.5751572862088397,16.419092820694676
Food and beverages,Food,"Milk, other dairy products and eggs",Milk: liquid,2.877697841726623,0.1150858348518246,5.255174458527576,15.122804197201681
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Brinjal,25.14051522248244,-10.91939651579561,0.2912040487534446,7.321019820534492
Food and beverages,Food,Fish and other seafood,Fish and prawn,6.743756680594681,1.8827675755889397,1.0223193227278602,6.894272762347037
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Green chillies,16.804218248509862,4.716884184564796,0.2378889075847694,3.9975371219540583
Clothing and footwear,Clothing,"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",Tailor,4.09956076134701,0.2820874471086254,0.867427212914543,3.5560705653890587
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Lady's finger,13.960228645036654,6.5487391795257865,0.2487781540236857,3.4729999120607977
Food and beverages,Food,"Meat, fresh, chilled or frozen",Goat meat/ mutton,5.0804236955668935,1.1327166320558746,0.6824698317567738,3.4672359047666648
"Housing, water, electricity, gas and other fuels","Electricity, gas and other fuels",Gas,LPG cylinder and piped natural gas,1.72274017024725,-1.0351966873706098,1.981365827973307,3.4133785038048186
"Housing, water, electricity, gas and other fuels","Maintenance, repair and security of the dwelling","Services for the maintenance, repair and security of the dwelling",Residential building and land (minor repairs),3.4709285224041597,0.2565076952308454,0.7796445139273254,2.706090380726281
"Housing, water, electricity, gas and other fuels","Electricity, gas and other fuels",Solid fuels,Firewood and chips,3.0297163875713906,0.6715218008133794,0.8718299098637459,2.6413973650890794
Food and beverages,Food,"Sugar, confectionery and desserts",Sugar,4.6101762421587145,-0.2184442967043454,0.4966060615118601,2.2894414664939866
Clothing and footwear,Clothing,Garments,Saree,4.196746558860331,0.1758282435683877,0.5281286274323936,2.216421999812528
"Personal care, social protection and miscellaneous goods and services",Personal care,Hairdressing salons and personal grooming establishments,"Barber, beautician and spas",3.0751150719811937,0.1903855306996771,0.7153897414465031,2.199905776262871
Clothing and footwear,Clothing,Garments,"Shirts, T-shirts, Kurta (gents)",3.194484901446759,0.0753295668549869,0.6766281997240786,2.1614785679116713
"Paan, tobacco and intoxicants",Alcoholic beverages,Spirits and liquors,Country liquor,4.90580847723705,0.1217342447794589,0.3958517460189454,1.9419728513488301
