base_year,series,year,month,state,sector,division,group,class,sub_class,item,code,index,inflation,imputation
2024,Current,2026,January,All India,Rural,CPI (General),*,*,*,*,*,104.59,2.73,*
2024,Current,2026,January,All India,Urban,CPI (General),*,*,*,*,*,104.30,2.77,*
2024,Current,2026,January,All India,Combined,CPI (General),*,*,*,*,*,104.46,2.75,*
2024,Current,2026,January,All India,Rural,Food and beverages,*,*,*,*,01,103.89,1.96,*
2024,Current,2026,January,All India,Urban,Food and beverages,*,*,*,*,01,104.25,2.38,*
2024,Current,2026,January,All India,Combined,Food and beverages,*,*,*,*,01,104.03,2.11,*
2024,Current,2026,January,All India,Rural,"Paan, tobacco and intoxicants",*,*,*,*,02,104.41,2.73,*
2024,Current,2026,January,All India,Urban,"Paan, tobacco and intoxicants",*,*,*,*,02,104.42,3.15,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",*,*,*,*,02,104.42,2.86,*
2024,Current,2026,January,All India,Rural,Clothing and footwear,*,*,*,*,03,106.61,3.40,*
2024,Current,2026,January,All India,Urban,Clothing and footwear,*,*,*,*,03,104.80,2.29,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,*,*,*,*,03,105.92,2.98,*
2024,Current,2026,January,All India,Rural,"Housing, water, electricity, gas and other fuels",*,*,*,*,04,102.11,1.33,*
2024,Current,2026,January,All India,Urban,"Housing, water, electricity, gas and other fuels",*,*,*,*,04,101.96,1.65,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels",*,*,*,*,04,102.02,1.53,*
2024,Current,2026,January,All India,Rural,"Furnishings, household equipment and routine household maintenance",*,*,*,*,05,103.12,1.55,*
2024,Current,2026,January,All India,Urban,"Furnishings, household equipment and routine household maintenance",*,*,*,*,05,102.78,1.31,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",*,*,*,*,05,102.97,1.45,*
2024,Current,2026,January,All India,Rural,Health,*,*,*,*,06,103.72,2.12,*
2024,Current,2026,January,All India,Urban,Health,*,*,*,*,06,104.22,2.30,*
2024,Current,2026,January,All India,Combined,Health,*,*,*,*,06,103.91,2.19,*
2024,Current,2026,January,All India,Rural,Transport,*,*,*,*,07,100.67,0.12,*
2024,Current,2026,January,All India,Urban,Transport,*,*,*,*,07,100.61,0.06,*
2024,Current,2026,January,All India,Combined,Transport,*,*,*,*,07,100.64,0.09,*
2024,Current,2026,January,All India,Rural,Information and communication,*,*,*,*,08,103.54,0.23,*
2024,Current,2026,January,All India,Urban,Information and communication,*,*,*,*,08,102.99,0.07,*
2024,Current,2026,January,All India,Combined,Information and communication,*,*,*,*,08,103.30,0.16,*
2024,Current,2026,January,All India,Rural,"Recreation, sport and culture",*,*,*,*,09,103.85,2.06,*
2024,Current,2026,January,All India,Urban,"Recreation, sport and culture",*,*,*,*,09,104.22,2.58,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",*,*,*,*,09,104.03,2.32,*
2024,Current,2026,January,All India,Rural,Education services,*,*,*,*,10,104.77,3.08,*
2024,Current,2026,January,All India,Urban,Education services,*,*,*,*,10,105.71,3.53,*
2024,Current,2026,January,All India,Combined,Education services,*,*,*,*,10,105.33,3.35,*
2024,Current,2026,January,All India,Rural,Restaurants and accommodation services,*,*,*,*,11,104.77,1.98,*
2024,Current,2026,January,All India,Urban,Restaurants and accommodation services,*,*,*,*,11,106.56,3.66,*
2024,Current,2026,January,All India,Combined,Restaurants and accommodation services,*,*,*,*,11,105.71,2.87,*
2024,Current,2026,January,All India,Rural,"Personal care, social protection and miscellaneous goods and services",*,*,*,*,13,123.07,19.59,*
2024,Current,2026,January,All India,Urban,"Personal care, social protection and miscellaneous goods and services",*,*,*,*,13,122.05,18.28,*
2024,Current,2026,January,All India,Combined,"Personal care, social protection and miscellaneous goods and services",*,*,*,*,13,122.63,19.02,*
2024,Current,2026,January,All India,Rural,Food and beverages,Food,*,*,*,01.1,103.89,1.96,*
2024,Current,2026,January,All India,Urban,Food and beverages,Food,*,*,*,01.1,104.31,2.44,*
2024,Current,2026,January,All India,Combined,Food and beverages,Food,*,*,*,01.1,104.04,2.13,*
2024,Current,2026,January,All India,Rural,Food and beverages,Beverages,*,*,*,01.2,103.65,1.71,*
2024,Current,2026,January,All India,Urban,Food and beverages,Beverages,*,*,*,01.2,103.10,1.37,*
2024,Current,2026,January,All India,Combined,Food and beverages,Beverages,*,*,*,01.2,103.41,1.56,*
2024,Current,2026,January,All India,Rural,Food and beverages,Services for processing primary goods for food,*,*,*,01.3,106.00,3.22,*
2024,Current,2026,January,All India,Urban,Food and beverages,Services for processing primary goods for food,*,*,*,01.3,106.72,3.91,*
2024,Current,2026,January,All India,Combined,Food and beverages,Services for processing primary goods for food,*,*,*,01.3,106.21,3.42,*
2024,Current,2026,January,All India,Rural,"Paan, tobacco and intoxicants",Alcoholic beverages,*,*,*,02.1,105.81,3.78,*
2024,Current,2026,January,All India,Urban,"Paan, tobacco and intoxicants",Alcoholic beverages,*,*,*,02.1,105.31,3.89,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",Alcoholic beverages,*,*,*,02.1,105.65,3.82,*
2024,Current,2026,January,All India,Rural,"Paan, tobacco and intoxicants",Paan and tobacco,*,*,*,02.3,103.17,1.78,*
2024,Current,2026,January,All India,Urban,"Paan, tobacco and intoxicants",Paan and tobacco,*,*,*,02.3,103.49,2.38,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",Paan and tobacco,*,*,*,02.3,103.26,1.96,*
2024,Current,2026,January,All India,Rural,Clothing and footwear,Clothing,*,*,*,03.1,107.05,3.75,*
2024,Current,2026,January,All India,Urban,Clothing and footwear,Clothing,*,*,*,03.1,105.40,2.82,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,Clothing,*,*,*,03.1,106.42,3.40,*
2024,Current,2026,January,All India,Rural,Clothing and footwear,Footwear,*,*,*,03.2,103.71,1.05,*
2024,Current,2026,January,All India,Urban,Clothing and footwear,Footwear,*,*,*,03.2,101.06,-1.04,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,Footwear,*,*,*,03.2,102.67,0.23,*
2024,Current,2026,January,All India,Rural,"Housing, water, electricity, gas and other fuels",Actual rental payments made for housing,*,*,*,04.1,102.62,2.18,*
2024,Current,2026,January,All India,Urban,"Housing, water, electricity, gas and other fuels",Actual rental payments made for housing,*,*,*,04.1,102.28,1.86,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels",Actual rental payments made for housing,*,*,*,04.1,102.36,1.93,*
2024,Current,2026,January,All India,Rural,"Housing, water, electricity, gas and other fuels","Maintenance, repair and security of the dwelling",*,*,*,04.3,105.13,3.23,*
2024,Current,2026,January,All India,Urban,"Housing, water, electricity, gas and other fuels","Maintenance, repair and security of the dwelling",*,*,*,04.3,104.63,3.15,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels","Maintenance, repair and security of the dwelling",*,*,*,04.3,104.95,3.20,*
2024,Current,2026,January,All India,Rural,"Housing, water, electricity, gas and other fuels",Water supply and miscellaneous services relating to the dwelling,*,*,*,04.4,100.91,0.63,*
2024,Current,2026,January,All India,Urban,"Housing, water, electricity, gas and other fuels",Water supply and miscellaneous services relating to the dwelling,*,*,*,04.4,102.22,1.77,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels",Water supply and miscellaneous services relating to the dwelling,*,*,*,04.4,101.82,1.42,*
2024,Current,2026,January,All India,Rural,"Housing, water, electricity, gas and other fuels","Electricity, gas and other fuels",*,*,*,04.5,101.06,0.26,*
2024,Current,2026,January,All India,Urban,"Housing, water, electricity, gas and other fuels","Electricity, gas and other fuels",*,*,*,04.5,100.10,0.49,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels","Electricity, gas and other fuels",*,*,*,04.5,100.68,0.35,*
2024,Current,2026,January,All India,Rural,"Furnishings, household equipment and routine household maintenance","Furniture, furnishings, and loose carpets",*,*,*,05.1,104.58,2.28,*
2024,Current,2026,January,All India,Urban,"Furnishings, household equipment and routine household maintenance","Furniture, furnishings, and loose carpets",*,*,*,05.1,103.90,1.90,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance","Furniture, furnishings, and loose carpets",*,*,*,05.1,104.32,2.13,*
2024,Current,2026,January,All India,Rural,"Furnishings, household equipment and routine household maintenance",Household textiles,*,*,*,05.2,106.15,3.16,*
2024,Current,2026,January,All India,Urban,"Furnishings, household equipment and routine household maintenance",Household textiles,*,*,*,05.2,103.72,1.18,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",Household textiles,*,*,*,05.2,105.24,2.41,*
2024,Current,2026,January,All India,Rural,"Furnishings, household equipment and routine household maintenance",Household appliances,*,*,*,05.3,101.17,0.18,*
2024,Current,2026,January,All India,Urban,"Furnishings, household equipment and routine household maintenance",Household appliances,*,*,*,05.3,100.18,-0.65,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",Household appliances,*,*,*,05.3,100.71,-0.21,*
2024,Current,2026,January,All India,Rural,"Furnishings, household equipment and routine household maintenance","Glassware, tableware and household utensils",*,*,*,05.4,105.74,3.19,*
2024,Current,2026,January,All India,Urban,"Furnishings, household equipment and routine household maintenance","Glassware, tableware and household utensils",*,*,*,05.4,104.53,2.12,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance","Glassware, tableware and household utensils",*,*,*,05.4,105.28,2.78,*
2024,Current,2026,January,All India,Rural,"Furnishings, household equipment and routine household maintenance",Tools and equipment for house and garden,*,*,*,05.5,98.85,-1.51,*
2024,Current,2026,January,All India,Urban,"Furnishings, household equipment and routine household maintenance",Tools and equipment for house and garden,*,*,*,05.5,99.59,-0.54,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",Tools and equipment for house and garden,*,*,*,05.5,99.10,-1.19,*
2024,Current,2026,January,All India,Rural,"Furnishings, household equipment and routine household maintenance",Goods and services for routine household maintenance,*,*,*,05.6,102.68,1.46,*
2024,Current,2026,January,All India,Urban,"Furnishings, household equipment and routine household maintenance",Goods and services for routine household maintenance,*,*,*,05.6,103.25,1.89,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",Goods and services for routine household maintenance,*,*,*,05.6,102.94,1.66,*
2024,Current,2026,January,All India,Rural,Health,Medicines and health products,*,*,*,06.1,104.40,2.52,*
2024,Current,2026,January,All India,Urban,Health,Medicines and health products,*,*,*,06.1,104.38,2.15,*
2024,Current,2026,January,All India,Combined,Health,Medicines and health products,*,*,*,06.1,104.39,2.38,*
2024,Current,2026,January,All India,Rural,Health,Outpatient care services,*,*,*,06.2,101.96,0.89,*
2024,Current,2026,January,All India,Urban,Health,Outpatient care services,*,*,*,06.2,104.03,2.57,*
2024,Current,2026,January,All India,Combined,Health,Outpatient care services,*,*,*,06.2,102.80,1.57,*
2024,Current,2026,January,All India,Rural,Health,Inpatient care services,*,*,*,06.3,103.95,2.76,*
2024,Current,2026,January,All India,Urban,Health,Inpatient care services,*,*,*,06.3,104.83,3.40,*
2024,Current,2026,January,All India,Combined,Health,Inpatient care services,*,*,*,06.3,104.32,3.02,*
2024,Current,2026,January,All India,Rural,Health,Other health services,*,*,*,06.4,102.23,1.16,*
2024,Current,2026,January,All India,Urban,Health,Other health services,*,*,*,06.4,103.00,1.81,*
2024,Current,2026,January,All India,Combined,Health,Other health services,*,*,*,06.4,102.52,1.41,*
2024,Current,2026,January,All India,Rural,Transport,Purchase of vehicles,*,*,*,07.1,97.34,-4.32,*
2024,Current,2026,January,All India,Urban,Transport,Purchase of vehicles,*,*,*,07.1,96.65,-4.73,*
2024,Current,2026,January,All India,Combined,Transport,Purchase of vehicles,*,*,*,07.1,96.99,-4.53,*
2024,Current,2026,January,All India,Rural,Transport,Operation of personal transport equipment,*,*,*,07.2,100.03,0.11,*
2024,Current,2026,January,All India,Urban,Transport,Operation of personal transport equipment,*,*,*,07.2,100.05,0.12,*
2024,Current,2026,January,All India,Combined,Transport,Operation of personal transport equipment,*,*,*,07.2,100.04,0.11,*
2024,Current,2026,January,All India,Rural,Transport,Passenger transport services,*,*,*,07.3,103.15,1.88,*
2024,Current,2026,January,All India,Urban,Transport,Passenger transport services,*,*,*,07.3,103.96,2.56,*
2024,Current,2026,January,All India,Combined,Transport,Passenger transport services,*,*,*,07.3,103.50,2.17,*
2024,Current,2026,January,All India,Rural,Transport,Transport services for goods,*,*,*,07.4,107.51,7.34,*
2024,Current,2026,January,All India,Urban,Transport,Transport services for goods,*,*,*,07.4,107.67,7.57,*
2024,Current,2026,January,All India,Combined,Transport,Transport services for goods,*,*,*,07.4,107.61,7.48,*
2024,Current,2026,January,All India,Rural,Information and communication,Information and communication equipment,*,*,*,08.1,97.72,-2.18,*
2024,Current,2026,January,All India,Urban,Information and communication,Information and communication equipment,*,*,*,08.1,97.16,-2.46,*
2024,Current,2026,January,All India,Combined,Information and communication,Information and communication equipment,*,*,*,08.1,97.46,-2.31,*
2024,Current,2026,January,All India,Rural,Information and communication,Information and communication services,*,*,*,08.3,105.11,0.84,*
2024,Current,2026,January,All India,Urban,Information and communication,Information and communication services,*,*,*,08.3,104.71,0.79,*
2024,Current,2026,January,All India,Combined,Information and communication,Information and communication services,*,*,*,08.3,104.93,0.82,*
2024,Current,2026,January,All India,Rural,"Recreation, sport and culture",Recreational durables,*,*,*,09.1,97.97,-1.15,*
2024,Current,2026,January,All India,Urban,"Recreation, sport and culture",Recreational durables,*,*,*,09.1,101.25,1.27,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",Recreational durables,*,*,*,09.1,100.27,0.55,*
2024,Current,2026,January,All India,Rural,"Recreation, sport and culture",Other recreational goods,*,*,*,09.2,104.71,2.63,*
2024,Current,2026,January,All India,Urban,"Recreation, sport and culture",Other recreational goods,*,*,*,09.2,104.81,2.62,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",Other recreational goods,*,*,*,09.2,104.75,2.63,*
2024,Current,2026,January,All India,Rural,"Recreation, sport and culture",Garden products and pets,*,*,*,09.3,113.77,6.62,*
2024,Current,2026,January,All India,Urban,"Recreation, sport and culture",Garden products and pets,*,*,*,09.3,115.26,10.25,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",Garden products and pets,*,*,*,09.3,114.56,8.54,*
2024,Current,2026,January,All India,Rural,"Recreation, sport and culture",Recreational services,*,*,*,09.4,102.60,1.81,*
2024,Current,2026,January,All India,Urban,"Recreation, sport and culture",Recreational services,*,*,*,09.4,101.94,1.03,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",Recreational services,*,*,*,09.4,102.20,1.34,*
2024,Current,2026,January,All India,Rural,"Recreation, sport and culture",Cultural goods,*,*,*,09.5,102.09,0.68,*
