base_year,series,year,month,state,sector,division,group,class,sub_class,item,code,index,inflation,imputation
2024,Current,2026,January,All India,Rural,CPI (General),*,*,*,*,*,104.59,2.73,*
2024,Current,2026,January,All India,Urban,CPI (General),*,*,*,*,*,104.30,2.77,*
2024,Current,2026,January,All India,Combined,CPI (General),*,*,*,*,*,104.46,2.75,*
2024,Current,2026,January,All India,Rural,Food and beverages,*,*,*,*,01,103.89,1.96,*
2024,Current,2026,January,All India,Urban,Food and beverages,*,*,*,*,01,104.25,2.38,*
2024,Current,2026,January,All India,Combined,Food and beverages,*,*,*,*,01,104.03,2.11,*
2024,Current,2026,January,All India,Rural,"Paan, tobacco and intoxicants",*,*,*,*,02,104.41,2.73,*
2024,Current,2026,January,All India,Urban,"Paan, tobacco and intoxicants",*,*,*,*,02,104.42,3.15,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",*,*,*,*,02,104.42,2.86,*
2024,Current,2026,January,All India,Rural,Clothing and footwear,*,*,*,*,03,106.61,3.40,*
2024,Current,2026,January,All India,Urban,Clothing and footwear,*,*,*,*,03,104.80,2.29,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,*,*,*,*,03,105.92,2.98,*
2024,Current,2026,January,All India,Rural,"Housing, water, electricity, gas and other fuels",*,*,*,*,04,102.11,1.33,*
2024,Current,2026,January,All India,Urban,"Housing, water, electricity, gas and other fuels",*,*,*,*,04,101.96,1.65,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels",*,*,*,*,04,102.02,1.53,*
2024,Current,2026,January,All India,Rural,"Furnishings, household equipment and routine household maintenance",*,*,*,*,05,103.12,1.55,*
2024,Current,2026,January,All India,Urban,"Furnishings, household equipment and routine household maintenance",*,*,*,*,05,102.78,1.31,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",*,*,*,*,05,102.97,1.45,*
2024,Current,2026,January,All India,Rural,Health,*,*,*,*,06,103.72,2.12,*
2024,Current,2026,January,All India,Urban,Health,*,*,*,*,06,104.22,2.30,*
2024,Current,2026,January,All India,Urban,"Paan, tobacco and intoxicants",Alcoholic beverages,Spirits and liquors,*,*,02.1.1,104.89,3.42,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",Alcoholic beverages,Spirits and liquors,*,*,02.1.1,105.02,3.48,*
2024,Current,2026,January,All India,Rural,"Paan, tobacco and intoxicants",Alcoholic beverages,Wine,*,*,02.1.2,109.22,1.18,*
2024,Current,2026,January,All India,Urban,"Paan, tobacco and intoxicants",Alcoholic beverages,Wine,*,*,02.1.2,109.89,9.05,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",Alcoholic beverages,Wine,*,*,02.1.2,109.24,1.41,*
2024,Current,2026,January,All India,Rural,"Paan, tobacco and intoxicants",Alcoholic beverages,Beer,*,*,02.1.3,108.13,6.22,*
2024,Current,2026,January,All India,Urban,"Paan, tobacco and intoxicants",Alcoholic beverages,Beer,*,*,02.1.3,106.30,4.97,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",Alcoholic beverages,Beer,*,*,02.1.3,107.29,5.65,*
2024,Current,2026,January,All India,Rural,"Paan, tobacco and intoxicants",Alcoholic beverages,Other alcoholic beverages,*,*,02.1.9,103.36,2.33,*
2024,Current,2026,January,All India,Urban,"Paan, tobacco and intoxicants",Alcoholic beverages,Other alcoholic beverages,*,*,02.1.9,103.32,2.35,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",Alcoholic beverages,Other alcoholic beverages,*,*,02.1.9,103.35,2.33,*
2024,Current,2026,January,All India,Rural,"Paan, tobacco and intoxicants",Paan and tobacco,Paan and other tobacco products,*,*,02.3.0,103.17,1.78,*
2024,Current,2026,January,All India,Urban,"Paan, tobacco and intoxicants",Paan and tobacco,Paan and other tobacco products,*,*,02.3.0,103.49,2.38,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",Paan and tobacco,Paan and other tobacco products,*,*,02.3.0,103.26,1.96,*
2024,Current,2026,January,All India,Rural,Clothing and footwear,Clothing,Clothing materials,*,*,03.1.1,107.42,4.04,*
2024,Current,2026,January,All India,Urban,Clothing and footwear,Clothing,Clothing materials,*,*,03.1.1,105.72,3.03,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,Clothing,Clothing materials,*,*,03.1.1,106.87,3.72,*
2024,Current,2026,January,All India,Rural,Clothing and footwear,Clothing,Garments,*,*,03.1.2,107.32,3.80,*
2024,Current,2026,January,All India,Urban,Clothing and footwear,Clothing,Garments,*,*,03.1.2,104.95,2.42,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,Clothing,Garments,*,*,03.1.2,106.41,3.27,*
2024,Current,2026,January,All India,Urban,Food and beverages,Food,"Milk, other dairy products and eggs",Eggs,*,01.1.4.8,106.01,5.18,*
2024,Current,2026,January,Andaman And Nicobar Islands,Combined,Food and beverages,Food,"Milk, other dairy products and eggs",Eggs,*,01.1.4.8,107.39,3.86,*
2024,Current,2026,January,Andaman And Nicobar Islands,Rural,Food and beverages,Food,"Milk, other dairy products and eggs",Other dairy products,*,01.1.4.9,112.22,4.56,*
2024,Current,2026,January,Andaman And Nicobar Islands,Urban,Food and beverages,Food,"Milk, other dairy products and eggs",Other dairy products,*,01.1.4.9,110.97,8.38,*
2024,Current,2026,January,Andaman And Nicobar Islands,Combined,Food and beverages,Food,"Milk, other dairy products and eggs",Other dairy products,*,01.1.4.9,111.85,5.67,*
2024,Current,2026,January,Andaman And Nicobar Islands,Rural,Food and beverages,Food,Oils and fats,Vegetable oils,*,01.1.5.1,122.60,7.56,*
2024,Current,2026,January,Andaman And Nicobar Islands,Urban,Food and beverages,Food,Oils and fats,Vegetable oils,*,01.1.5.1,112.88,-1.09,*
2024,Current,2026,January,Andaman And Nicobar Islands,Combined,Food and beverages,Food,Oils and fats,Vegetable oils,*,01.1.5.1,118.52,3.92,*
2024,Current,2026,January,Andaman And Nicobar Islands,Rural,Food and beverages,Food,Oils and fats,Butter and other oils and fats derived from milk,*,01.1.5.2,105.09,4.64,*
2024,Current,2026,January,Andaman And Nicobar Islands,Urban,Food and beverages,Food,Oils and fats,Butter and other oils and fats derived from milk,*,01.1.5.2,101.85,2.68,*
2024,Current,2026,January,Andaman And Nicobar Islands,Combined,Food and beverages,Food,Oils and fats,Butter and other oils and fats derived from milk,*,01.1.5.2,103.53,3.70,*
2024,Current,2026,January,Andaman And Nicobar Islands,Urban,Food and beverages,Food,Oils and fats,Margarine and similar preparations,*,01.1.5.3,131.59,25.26,*
2024,Current,2026,January,Andaman And Nicobar Islands,Combined,Food and beverages,Food,Oils and fats,Margarine and similar preparations,*,01.1.5.3,131.59,25.26,*
2024,Current,2026,January,Andaman And Nicobar Islands,Rural,Food and beverages,Food,Fruits and nuts,"Dates, figs and tropical fruits, fresh",*,01.1.6.1,124.45,15.76,*
2024,Current,2026,January,Andaman And Nicobar Islands,Urban,Food and beverages,Food,Fruits and nuts,"Dates, figs and tropical fruits, fresh",*,01.1.6.1,112.82,-5.48,*
2024,Current,2026,January,Andaman And Nicobar Islands,Combined,Food and beverages,Food,Fruits and nuts,"Dates, figs and tropical fruits, fresh",*,01.1.6.1,119.73,6.61,*
2024,Current,2026,January,Andaman And Nicobar Islands,Rural,Food and beverages,Food,Fruits and nuts,"Citrus fruits, fresh",*,01.1.6.2,160.03,50.62,*
2024,Current,2026,January,Andaman And Nicobar Islands,Urban,Food and beverages,Food,Fruits and nuts,"Citrus fruits, fresh",*,01.1.6.2,99.10,1.32,*
2024,Current,2026,January,Andaman And Nicobar Islands,Combined,Food and beverages,Food,Fruits and nuts,"Citrus fruits, fresh",*,01.1.6.2,130.92,28.08,*
2024,Current,2026,January,Andaman And Nicobar Islands,Rural,Food and beverages,Food,Fruits and nuts,"Stone fruits and pome fruits, fresh",*,01.1.6.3,105.12,-5.78,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Fruit and vegetable juices,Fruit and vegetable juices,*,01.2.1.0,101.43,0.70,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Fruit and vegetable juices,Fruit and vegetable juices,*,01.2.1.0,104.70,4.51,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,Fruit and vegetable juices,Fruit and vegetable juices,*,01.2.1.0,102.90,2.40,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Coffee and coffee substitutes,Coffee: powder,*,01.2.2.0,102.94,1.82,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Coffee and coffee substitutes,Coffee: powder,*,01.2.2.0,111.51,5.63,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,Coffee and coffee substitutes,Coffee: powder,*,01.2.2.0,111.06,5.44,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,"Tea, maté and other plant-derived products for infusion",Tea: leaf,*,01.2.3.0,102.83,0.67,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,"Tea, maté and other plant-derived products for infusion",Tea: leaf,*,01.2.3.0,97.94,-1.43,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,"Tea, maté and other plant-derived products for infusion",Tea: leaf,*,01.2.3.0,101.45,0.09,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Other beverages,Other beverages,*,01.2.9.0,100.92,-0.16,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Other beverages,Other beverages,*,01.2.9.0,99.58,-1.13,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,Other beverages,Other beverages,*,01.2.9.0,100.44,-0.51,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Cocoa drinks,Cocoa drinks,*,01.2.4.0,103.66,-1.46,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Cocoa drinks,Cocoa drinks,*,01.2.4.0,107.26,2.79,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,Cocoa drinks,Cocoa drinks,*,01.2.4.0,105.16,0.30,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Water,Packaged water,*,01.2.5.0,102.88,1.80,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Water,Packaged water,*,01.2.5.0,101.08,1.39,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,Water,Packaged water,*,01.2.5.0,101.93,1.58,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Soft drinks,Soda drinks,*,01.2.6.0,99.83,-0.42,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Soft drinks,Soda drinks,*,01.2.6.0,98.48,-0.63,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Fruit and vegetable juices,Fruit and vegetable juices,*,01.2.1.0,101.43,0.70,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Fruit and vegetable juices,Fruit and vegetable juices,*,01.2.1.0,104.70,4.51,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,Fruit and vegetable juices,Fruit and vegetable juices,*,01.2.1.0,102.90,2.40,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Coffee and coffee substitutes,Coffee: powder,*,01.2.2.0,102.94,1.82,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Coffee and coffee substitutes,Coffee: powder,*,01.2.2.0,111.51,5.63,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,Coffee and coffee substitutes,Coffee: powder,*,01.2.2.0,111.06,5.44,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,"Tea, maté and other plant-derived products for infusion",Tea: leaf,*,01.2.3.0,102.83,0.67,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,"Tea, maté and other plant-derived products for infusion",Tea: leaf,*,01.2.3.0,97.94,-1.43,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,"Tea, maté and other plant-derived products for infusion",Tea: leaf,*,01.2.3.0,101.45,0.09,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Other beverages,Other beverages,*,01.2.9.0,100.92,-0.16,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Other beverages,Other beverages,*,01.2.9.0,99.58,-1.13,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,Other beverages,Other beverages,*,01.2.9.0,100.44,-0.51,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Cocoa drinks,Cocoa drinks,*,01.2.4.0,103.66,-1.46,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Cocoa drinks,Cocoa drinks,*,01.2.4.0,107.26,2.79,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,Cocoa drinks,Cocoa drinks,*,01.2.4.0,105.16,0.30,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Water,Packaged water,*,01.2.5.0,102.88,1.80,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Water,Packaged water,*,01.2.5.0,101.08,1.39,*
2024,Current,2026,January,Jharkhand,Combined,Food and beverages,Beverages,Water,Packaged water,*,01.2.5.0,101.93,1.58,*
2024,Current,2026,January,Jharkhand,Rural,Food and beverages,Beverages,Soft drinks,Soda drinks,*,01.2.6.0,99.83,-0.42,*
2024,Current,2026,January,Jharkhand,Urban,Food and beverages,Beverages,Soft drinks,Soda drinks,*,01.2.6.0,98.48,-0.63,*
