base_year,series,year,month,state,sector,division,group,class,sub_class,item,code,index,inflation,imputation
2024,Current,2026,January,All India,Combined,CPI (General),*,*,*,*,*,104.46,2.75,*
2024,Current,2026,January,All India,Combined,Food and beverages,*,*,*,*,01,104.03,2.11,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",*,*,*,*,02,104.42,2.86,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,*,*,*,*,03,105.92,2.98,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels",*,*,*,*,04,102.02,1.53,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",*,*,*,*,05,102.97,1.45,*
2024,Current,2026,January,All India,Combined,Health,*,*,*,*,06,103.91,2.19,*
2024,Current,2026,January,All India,Combined,Transport,*,*,*,*,07,100.64,0.09,*
2024,Current,2026,January,All India,Combined,Information and communication,*,*,*,*,08,103.30,0.16,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",*,*,*,*,09,104.03,2.32,*
2024,Current,2026,January,All India,Combined,Education services,*,*,*,*,10,105.33,3.35,*
2024,Current,2026,January,All India,Combined,Restaurants and accommodation services,*,*,*,*,11,105.71,2.87,*
2024,Current,2026,January,All India,Combined,"Personal care, social protection and miscellaneous goods and services",*,*,*,*,13,122.63,19.02,*
2024,Current,2026,January,All India,Combined,Food and beverages,Food,*,*,*,01.1,104.04,2.13,*
2024,Current,2026,January,All India,Combined,Food and beverages,Beverages,*,*,*,01.2,103.41,1.56,*
2024,Current,2026,January,All India,Combined,Food and beverages,Services for processing primary goods for food,*,*,*,01.3,106.21,3.42,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",Alcoholic beverages,*,*,*,02.1,105.65,3.82,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",Paan and tobacco,*,*,*,02.3,103.26,1.96,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,Clothing,*,*,*,03.1,106.42,3.40,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,Footwear,*,*,*,03.2,102.67,0.23,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels",Actual rental payments made for housing,*,*,*,04.1,102.36,1.93,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels","Maintenance, repair and security of the dwelling",*,*,*,04.3,104.95,3.20,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels",Water supply and miscellaneous services relating to the dwelling,*,*,*,04.4,101.82,1.42,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels","Electricity, gas and other fuels",*,*,*,04.5,100.68,0.35,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance","Furniture, furnishings, and loose carpets",*,*,*,05.1,104.32,2.13,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",Household textiles,*,*,*,05.2,105.24,2.41,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",Household appliances,*,*,*,05.3,100.71,-0.21,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance","Glassware, tableware and household utensils",*,*,*,05.4,105.28,2.78,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",Tools and equipment for house and garden,*,*,*,05.5,99.10,-1.19,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",Goods and services for routine household maintenance,*,*,*,05.6,102.94,1.66,*
2024,Current,2026,January,All India,Combined,Health,Medicines and health products,*,*,*,06.1,104.39,2.38,*
2024,Current,2026,January,All India,Combined,Health,Outpatient care services,*,*,*,06.2,102.80,1.57,*
2024,Current,2026,January,All India,Combined,Health,Inpatient care services,*,*,*,06.3,104.32,3.02,*
2024,Current,2026,January,All India,Combined,Health,Other health services,*,*,*,06.4,102.52,1.41,*
2024,Current,2026,January,All India,Combined,Transport,Purchase of vehicles,*,*,*,07.1,96.99,-4.53,*
2024,Current,2026,January,All India,Combined,Transport,Operation of personal transport equipment,*,*,*,07.2,100.04,0.11,*
2024,Current,2026,January,All India,Combined,Transport,Passenger transport services,*,*,*,07.3,103.50,2.17,*
2024,Current,2026,January,All India,Combined,Transport,Transport services for goods,*,*,*,07.4,107.61,7.48,*
2024,Current,2026,January,All India,Combined,Information and communication,Information and communication equipment,*,*,*,08.1,97.46,-2.31,*
2024,Current,2026,January,All India,Combined,Information and communication,Information and communication services,*,*,*,08.3,104.93,0.82,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",Recreational durables,*,*,*,09.1,100.27,0.55,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",Other recreational goods,*,*,*,09.2,104.75,2.63,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",Garden products and pets,*,*,*,09.3,114.56,8.54,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",Recreational services,*,*,*,09.4,102.20,1.34,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",Cultural goods,*,*,*,09.5,102.87,1.15,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",Cultural services,*,*,*,09.6,103.96,2.29,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture","Newspapers, books and stationery",*,*,*,09.7,102.48,1.33,*
2024,Current,2026,January,All India,Combined,Education services,Early childhood and primary education,*,*,*,10.1,106.03,3.45,*
